name,score
Intel 1300 @ 1.66GHz,461
Intel 1400 @ 1.83GHz,528
Intel 1500 @ 2.00GHz,551
Intel 2.80GHz,341
Intel 300,7251
Intel 300T,5567
Intel Atom 230 @ 1.60GHz,169
Intel Atom 330 @ 1.60GHz,381
Intel Atom C1110,3170
Intel Atom C2338 @ 1.74GHz,584
Intel Atom C2350 @ 1.74GHz,531
Intel Atom C2358 @ 1.74GHz,562
Intel Atom C2538 @ 2.40GHz,968
Intel Atom C2550 @ 2.40GHz,1422
Intel Atom C2558 @ 2.40GHz,1424
Intel Atom C2750 @ 2.40GHz,2787
Intel Atom C2750 @ 2.41GHz,2174
Intel Atom C2758 @ 2.40GHz,2317
Intel Atom C3338 @ 1.50GHz,1028
Intel Atom C3508 @ 1.60GHz,1831
Intel Atom C3538 @ 2.10GHz,1910
Intel Atom C3558 @ 2.20GHz,2431
Intel Atom C3708 @ 1.70GHz,3750
Intel Atom C3758 @ 2.20GHz,4803
Intel Atom C3758R @ 2.40GHz,5086
Intel Atom C3808 @ 2.00GHz,5671
Intel Atom C3858 @ 2.00GHz,5040
Intel Atom C3958 @ 2.00GHz,3929
Intel Atom C5125,8631
Intel Atom C5315,2980
Intel Atom D2500 @ 1.86GHz,251
Intel Atom D2550 @ 1.86GHz,428
Intel Atom D2560 @ 2.00GHz,433
Intel Atom D2700 @ 2.13GHz,467
Intel Atom D2701 @ 2.13GHz,515
Intel Atom D410 @ 1.66GHz,180
Intel Atom D425 @ 1.80GHz,185
Intel Atom D510 @ 1.66GHz,406
Intel Atom D525 @ 1.80GHz,402
Intel Atom E3805 @ 1.33GHz,406
Intel Atom E3815 @ 1.46GHz,193
Intel Atom E3825 @ 1.33GHz,378
Intel Atom E3826 @ 1.46GHz,334
Intel Atom E3827 @ 1.74GHz,480
Intel Atom E3840 @ 1.91GHz,704
Intel Atom E3845 @ 1.91GHz,1071
Intel Atom E3900 @ 1.60GHz,1953
Intel Atom E660 @ 1.30GHz,177
Intel Atom E680 @ 1.60GHz,225
Intel Atom K510 @ 1.66GHz,385
Intel Atom N2100 @ 1.60GHz,193
Intel Atom N2600 @ 1.60GHz,344
Intel Atom N270 @ 1.60GHz,136
Intel Atom N280 @ 1.66GHz,157
Intel Atom N2800 @ 1.86GHz,444
Intel Atom N435 @ 1.33GHz,153
Intel Atom N450 @ 1.66GHz,200
Intel Atom N455 @ 1.66GHz,188
Intel Atom N470 @ 1.83GHz,224
Intel Atom N475 @ 1.83GHz,179
Intel Atom N550 @ 1.50GHz,304
Intel Atom N570 @ 1.66GHz,360
Intel Atom P5322,7378
Intel Atom P5342,13085
Intel Atom P5362,17276
Intel Atom S1260 @ 2.00GHz,526
Intel Atom T5700 @ 1.70GHz,2363
Intel Atom x5-E3930 @ 1.30GHz,879
Intel Atom x5-E3940 @ 1.60GHz,1837
Intel Atom x5-E8000 @ 1.04GHz,990
Intel Atom x5-Z8300 @ 1.44GHz,843
Intel Atom x5-Z8330 @ 1.44GHz,800
Intel Atom x5-Z8350 @ 1.44GHz,895
Intel Atom x5-Z8500 @ 1.44GHz,1203
Intel Atom x5-Z8550 @ 1.44GHz,1143
Intel Atom x6211E @ 1.20GHz,1695
Intel Atom x6211E @ 1.30GHz,1762
Intel Atom x6214RE @ 1.40GHz,1109
Intel Atom x6413E @ 1.50GHz,3726
Intel Atom x6414RE @ 1.50GHz,2128
Intel Atom x6425E @ 2.00GHz,3699
Intel Atom x6425RE @ 1.90GHz,2819
Intel Atom x6427FE @ 1.90GHz,3196
Intel Atom x7-E3950 @ 1.60GHz,2052
Intel Atom x7-Z8700 @ 1.60GHz,1322
Intel Atom x7-Z8750 @ 1.60GHz,1294
Intel Atom x7211E,2309
Intel Atom x7211RE,2214
Intel Atom x7213RE,2594
Intel Atom x7405C,5218
Intel Atom x7425E,5237
Intel Atom x7433RE,4100
Intel Atom x7809C,9409
Intel Atom x7835RE,7051
Intel Atom Z2760 @ 1.80GHz,298
Intel Atom Z3530 @ 1.33GHz,565
Intel Atom Z3560 @ 1.00GHz,749
Intel Atom Z3560 @ 1.83GHz,690
Intel Atom Z3580 @ 1.33GHz,802
Intel Atom Z3735D @ 1.33GHz,704
Intel Atom Z3735E @ 1.33GHz,557
Intel Atom Z3735F @ 1.33GHz,542
Intel Atom Z3735G @ 1.33GHz,772
Intel Atom Z3736F @ 1.33GHz,496
Intel Atom Z3740 @ 1.33GHz,638
Intel Atom Z3740D @ 1.33GHz,618
Intel Atom Z3745 @ 1.33GHz,621
Intel Atom Z3745D @ 1.33GHz,599
Intel Atom Z3770 @ 1.46GHz,728
Intel Atom Z3770D @ 1.49GHz,488
Intel Atom Z3775 @ 1.46GHz,702
Intel Atom Z3775D @ 1.49GHz,794
Intel Atom Z3795 @ 1.60GHz,1196
Intel Atom Z510 @ 1.10GHz,127
Intel Atom Z515 @ 1.20GHz,142
Intel Atom Z520 @ 1.33GHz,122
Intel Atom Z530 @ 1.60GHz,183
Intel Atom Z540 @ 1.86GHz,227
Intel Atom Z550 @ 2.00GHz,248
Intel Atom Z670 @ 1.50GHz,158
Intel CC150 @ 3.50GHz,14375
Intel Celeron 1.70GHz,101
Intel Celeron 1.80GHz,96
Intel Celeron 1000M @ 1.80GHz,1062
Intel Celeron 1000MHz,139
Intel Celeron 1005M @ 1.90GHz,1115
Intel Celeron 1007U @ 1.50GHz,841
Intel Celeron 1017U @ 1.60GHz,890
Intel Celeron 1019Y @ 1.00GHz,576
Intel Celeron 1020E @ 2.20GHz,1406
Intel Celeron 1020M @ 2.10GHz,1275
