name,score
AMD Ryzen 5 5600X,21841
AMD Ryzen 5 3600,17674
AMD Ryzen 9 5900X,38932
AMD Ryzen 7 7800X3D,34297
AMD Ryzen 7 5800X,27699
AMD Ryzen 7 9800X3D,39977
AMD Ryzen 7 3700X,22412
AMD Ryzen 7 5700X,26592
AMD Ryzen 9 5950X,45311
Intel Core i5-1135G7 @ 2.40GHz,9374
Intel Core i5-12400F,19594
AMD Ryzen 5 5600G,19670
AMD Ryzen 5 5600,21526
AMD Ryzen 9 3900X,32498
AMD Ryzen 5 5500,19275
Intel Core i9-14900K,58394
Intel Core i9-13900K,58233
Intel Core i7-9750H @ 2.60GHz,10586
Intel Core i9-9900K @ 3.60GHz,18071
Intel Core i7-11800H @ 2.30GHz,19713
AMD Ryzen 5 7600X,28310
AMD Ryzen 7 5700G,24300
Intel Core i7-12700K,34299
Intel Core i7-12700H,25184
Intel Core i7-10750H @ 2.60GHz,11469
Intel Core i9-12900K,41148
AMD Ryzen 7 5800X3D,28303
AMD Ryzen 5 2600,13138
Intel Core i7-8700 @ 3.20GHz,12746
Intel Core i7-1165G7 @ 2.80GHz,9809
Apple M1 8 Core 3200 MHz,14130
AMD Ryzen 9 9950X3D,70221
AMD Ryzen 7 5800H,20590
Intel Core i7-9700K @ 3.60GHz,14401
Intel Core i7-8700K @ 3.70GHz,13575
AMD Ryzen 9 7900X,51283
Intel Core i7-8750H @ 2.20GHz,9750
Intel Core i5-8250U @ 1.60GHz,5801
AMD Ryzen 7 7700X,35551
AMD Ryzen 7 9700X,37077
AMD Ryzen 9 7950X,62205
Intel Core i5-10400F @ 2.90GHz,12109
Intel Core i7-14700K,52049
Intel Core i7-6700 @ 3.40GHz,8036
Intel Core i7-13700K,45719
AMD Ryzen 7 2700X,17440
Intel Core i7-7700HQ @ 2.80GHz,6883
AMD Ryzen 7 5700X3D,26306
Intel Core Ultra 7 265K,58701
Intel Core i7-3770 @ 3.40GHz,6413
Intel Core Ultra 9 285K,67325
Intel Core i5-9400F @ 2.90GHz,9461
Intel Core i7-10700K @ 3.80GHz,18531
Intel Core i5-1235U,12621
Intel Core i5-6500 @ 3.20GHz,5601
Intel Core i7-4790 @ 3.60GHz,7262
AMD Ryzen 5 9600X,30065
AMD Ryzen 5 3600X,18130
Intel Core i9-14900KF,58289
Intel Core i7-7700 @ 3.60GHz,8646
Intel Core i5-11400H @ 2.70GHz,15188
Intel Core i5-10210U @ 1.60GHz,6064
Intel Core i5-12600K,27545
AMD Ryzen 5 7600,26997
Intel Core i5-7200U @ 2.50GHz,3370
AMD Ryzen 9 7950X3D,62318
Intel Core Ultra 7 155H,24611
AMD Ryzen 7 7700,34379
Intel Core i7-12700KF,34002
Intel Core i7-7700K @ 4.20GHz,9636
Intel Core i5-12450H,16026
Intel Core i7-13620H,23477
Intel Core i7-12700,29950
Intel Core i5-8400 @ 2.80GHz,9230
Intel Core i5-8265U @ 1.60GHz,5800
Intel Core i5-12400,18790
Intel Core i7-8550U @ 1.80GHz,5798
AMD Ryzen 5 5600H,16444
AMD Ryzen 9 9950X,65810
AMD Ryzen 7 3800X,22983
Intel Core i9-14900HX,44253
Intel Core i7-6700K @ 4.00GHz,8939
Intel Core i7-9700 @ 3.00GHz,13192
AMD Ryzen 9 9900X,54440
Intel Core i7-14700KF,52149
AMD Ryzen 7 4800H,17969
Intel Core i7-4790K @ 4.00GHz,8063
Intel Core i5-1145G7 @ 2.60GHz,9227
Intel Core i7-10700 @ 2.90GHz,16027
Intel Core i7-11700K @ 3.60GHz,24347
Intel Core i5-11400F @ 2.60GHz,16884
Intel Core i5-10300H @ 2.50GHz,8194
Intel Core i5-10400 @ 2.90GHz,11984
AMD Ryzen 5 5500U,12675
Intel Core i3-1115G4 @ 3.00GHz,5839
AMD Ryzen 5 1600,12257
Intel Core i5-13420H,17010
AMD Ryzen 7 5700U,15426
Intel Core i5-14400F,25590
Intel Core i5-8350U @ 1.70GHz,6100
