name,score
GeForce RTX 4090,38068
GeForce RTX 5080,35689
GeForce RTX 5070 Ti,32431
GeForce RTX 4070 Ti,31576
GeForce RTX 4070 SUPER,29973
GeForce RTX 5070,28759
GeForce RTX 4070,26919
Radeon RX 9070 XT,26896
GeForce RTX 3080 Ti,26775
GeForce RTX 3090,26548
GeForce RTX 3080,25022
GeForce RTX 3070 Ti,23256
GeForce RTX 4060 Ti,22611
GeForce RTX 3070,22125
GeForce RTX 5060,20819
GeForce RTX 3060 Ti,20268
Radeon RX 6700 XT,19731
GeForce RTX 4060,19516
GeForce RTX 4070 Laptop GPU,19505
GeForce GTX 1080 Ti,18591
GeForce RTX 2070 SUPER,18140
GeForce RTX 4060 Laptop GPU,17391
GeForce RTX 3060 12GB,16744
Radeon RX 5700 XT,16097
GeForce RTX 2070,16065
GeForce GTX 1080,15611
Radeon RX 6600,15069
GeForce RTX 4050 Laptop GPU,14305
GeForce RTX 2060,14093
GeForce GTX 1070,13508
GeForce RTX 3060 Laptop GPU,13136
GeForce GTX 1660 SUPER,12684
GeForce GTX 1660 Ti,12653
GeForce GTX 1060,10049
GeForce GTX 970,9638
GeForce RTX 3050 4GB Laptop GPU,9495
Radeon RX 580,8791
Radeon RX 470/570,7921
GeForce GTX 1650,7870
GeForce GTX 1050 Ti,6360
GeForce GTX 1050,5044
Intel Graphics,3183
Intel Iris Xe,2606
Intel UHD Graphics 770,1909
Intel UHD Graphics,1520
Intel UHD Graphics 630,1226
Intel UHD Graphics 620,1041
Intel HD Graphics 620,918
Intel HD 520,859
Intel HD 4600,630
