name,brand,family,model,cores,threads,base_ghz,boost_ghz,process_nm,release_year
AMD Ryzen 7 9800X3D,AMD,,Ryzen 7 9800X3D,8,,,5.2,,
AMD Ryzen 7 7800X3D,AMD,,Ryzen 7 7800X3D,8,,,5.0,,
AMD Ryzen 5 7600X,AMD,,Ryzen 5 7600X,6,,,5.3,,
AMD Ryzen 5 9600X,AMD,,Ryzen 5 9600X,6,,,5.4,,
AMD Ryzen 7 7700X,AMD,,Ryzen 7 7700X,8,,,5.4,,
AMD Ryzen 9 9950X3D,AMD,,Ryzen 9 9950X3D,16,,,5.7,,
AMD Ryzen 5 5500,AMD,,Ryzen 5 5500,6,,,4.2,,
AMD Ryzen 7 9700X,AMD,,Ryzen 7 9700X,8,,,5.5,,
AMD Ryzen 5 5600X,AMD,,Ryzen 5 5600X,6,,,4.6,,
AMD Ryzen 5 5600,AMD,,Ryzen 5 5600,6,,,4.4,,
AMD Ryzen 7 5800X,AMD,,Ryzen 7 5800X,8,,,4.7,,
Intel Core i7-14700K,Intel,,Core i7-14700K,20,,,5.6,,
Intel Core i9-14900K,Intel,,Core i9-14900K,24,,,6.0,,
Intel Core i5-12400F,Intel,,Core i5-12400F,6,,,4.4,,
AMD Ryzen 5 3600,AMD,,Ryzen 5 3600,6,,,4.2,,
AMD Ryzen 5 7600,AMD,,Ryzen 5 7600,6,,,5.1,,
AMD Ryzen 7 5700X,AMD,,Ryzen 7 5700X,8,,,4.6,,
AMD Ryzen 9 7900X,AMD,,Ryzen 9 7900X,12,,,5.6,,
AMD Ryzen 9 9900X,AMD,,Ryzen 9 9900X,12,,,5.6,,
Intel Core i5-14600K,Intel,,Core i5-14600K,14,,,5.3,,
Intel Core Ultra 7 265K,Intel,,Core Ultra 7 265K,20,,,5.5,,
AMD Ryzen 7 5700X3D,AMD,,Ryzen 7 5700X3D,8,,,4.1,,
Intel Core i5-14400F,Intel,,Core i5-14400F,10,,,4.7,,
AMD Ryzen 9 9950X,AMD,,Ryzen 9 9950X,16,,,5.7,,
AMD Ryzen 5 7500F,AMD,,Ryzen 5 7500F,6,,,5.0,,
AMD Ryzen 7 5800XT,AMD,,Ryzen 7 5800XT,8,,,4.8,,
Intel Core Ultra 9 285K,Intel,,Core Ultra 9 285K,24,,,5.7,,
Intel Core i7-12700K,Intel,,Core i7-12700K,12,,,5.0,,
AMD Ryzen 5 7600X3D,AMD,,Ryzen 5 7600X3D,6,,,4.7,,
AMD Ryzen 5 5600G,AMD,,Ryzen 5 5600G,6,,,4.4,,
AMD Ryzen 7 7700,AMD,,Ryzen 7 7700,8,,,5.3,,
Intel Core i5-13400F,Intel,,Core i5-13400F,10,,,4.6,,
Intel Core i7-12700KF,Intel,,Core i7-12700KF,12,,,5.0,,
AMD Ryzen 9 5900X,AMD,,Ryzen 9 5900X,12,,,4.8,,
AMD Ryzen 7 3700X,AMD,,Ryzen 7 3700X,8,,,4.4,,
Intel Core i5-12600KF,Intel,,Core i5-12600KF,10,,,4.9,,
AMD Ryzen 5 8400F,AMD,,Ryzen 5 8400F,6,,,4.7,,
AMD Ryzen 5 8500G,AMD,,Ryzen 5 8500G,6,,,5.0,,
AMD Threadripper 3990X,AMD,,Threadripper 3990X,64,,,4.3,,
Intel Core i5-12600K,Intel,,Core i5-12600K,10,,,4.9,,
AMD Ryzen 7 5700G,AMD,,Ryzen 7 5700G,8,,,4.6,,
AMD Ryzen 9 5950X,AMD,,Ryzen 9 5950X,16,,,4.9,,
AMD Ryzen 7 5800X3D,AMD,,Ryzen 7 5800X3D,8,,,4.5,,
Intel Core i3-12100F,Intel,,Core i3-12100F,4,,,4.3,,
AMD Ryzen 9 7950X,AMD,,Ryzen 9 7950X,16,,,5.7,,
Intel Core i5-14600KF,Intel,,Core i5-14600KF,14,,,5.3,,
AMD Ryzen 5 4500,AMD,,Ryzen 5 4500,6,,,4.1,,
AMD Ryzen 5 8600G,AMD,,Ryzen 5 8600G,6,,,5.0,,
AMD Ryzen 7 5700,AMD,,Ryzen 7 5700,8,,,4.6,,
Intel Core i7-14700KF,Intel,,Core i7-14700KF,20,,,5.6,,
Intel Core i9-12900K,Intel,,Core i9-12900K,16,,,5.2,,
Intel Core Ultra 7 265KF,Intel,,Core Ultra 7 265KF,20,,,5.5,,
AMD Ryzen 9 9900X3D,AMD,,Ryzen 9 9900X3D,12,,,5.5,,
AMD Ryzen 9 7950X3D,AMD,,Ryzen 9 7950X3D,16,,,5.7,,
AMD Ryzen 7 8700G,AMD,,Ryzen 7 8700G,8,,,5.1,,
Intel Core i9-14900KF,Intel,,Core i9-14900KF,24,,,6.0,,
Intel Core i7-13700K,Intel,,Core i7-13700K,16,,,5.4,,
Intel Core i5-10400F,Intel,,Core i5-10400F,6,,,4.3,,
AMD Ryzen 7 8700F,AMD,,Ryzen 7 8700F,8,,,5.0,,
AMD Ryzen 5 2600,AMD,,Ryzen 5 2600,6,,,3.9,,
Intel Core i9-14900KS,Intel,,Core i9-14900KS,24,,,6.2,,
AMD Ryzen 5 5600GT,AMD,,Ryzen 5 5600GT,6,,,4.6,,
Intel Core i5-13600KF,Intel,,Core i5-13600KF,14,,,5.1,,
AMD Ryzen 9 5900XT,AMD,,Ryzen 9 5900XT,16,,,4.8,,
Intel Core i7-14700F,Intel,,Core i7-14700F,20,,,5.4,,
AMD Ryzen 9 7900,AMD,,Ryzen 9 7900,12,,,5.4,,
Intel Core i7-9700K,Intel,,Core i7-9700K,8,,,4.9,,
Intel Core i7-8700K,Intel,,Core i7-8700K,6,,,4.7,,
AMD Ryzen 3 3200G,AMD,,Ryzen 3 3200G,4,,,4.0,,
AMD Ryzen 5 3400G,AMD,,Ryzen 5 3400G,4,,,4.2,,
Intel Core i9-13900K,Intel,,Core i9-13900K,24,,,5.8,,
Intel Core i5-12400,Intel,,Core i5-12400,6,,,4.4,,
AMD Ryzen 5 3600X,AMD,,Ryzen 5 3600X,6,,,4.4,,
Intel Core i9-9900K,Intel,,Core i9-9900K,8,,,5.0,,
AMD Ryzen 7 2700X,AMD,,Ryzen 7 2700X,8,,,4.3,,
Intel Core i3-14100F,Intel,,Core i3-14100F,4,,,4.7,,
Intel Core i9-12900KF,Intel,,Core i9-12900KF,16,,,5.2,,
AMD Ryzen 5 5600XT,AMD,,Ryzen 5 5600XT,6,,,4.7,,
Intel Core i5-13600K,Intel,,Core i5-13600K,14,,,5.1,,
Intel Core i7-7700K,Intel,,Core i7-7700K,4,,,4.5,,
AMD Ryzen 3 4100,AMD,,Ryzen 3 4100,4,,,4.0,,
Intel Core Ultra 5 245K,Intel,,Core Ultra 5 245K,14,,,5.2,,
AMD Ryzen 3 3100,AMD,,Ryzen 3 3100,4,,,3.9,,
Intel Core i5-9400F,Intel,,Core i5-9400F,6,,,4.1,,
Intel Core i7-13700KF,Intel,,Core i7-13700KF,16,,,5.4,,
Intel Core i7-10700K,Intel,,Core i7-10700K,8,,,5.1,,
Intel Core i5-14400,Intel,,Core i5-14400,10,,,4.7,,
AMD Ryzen 9 3900X,AMD,,Ryzen 9 3900X,12,,,4.6,,
Intel Core i7-6700K,Intel,,Core i7-6700K,4,,,4.2,,
AMD Ryzen 9 7900X3D,AMD,,Ryzen 9 7900X3D,12,,,5.6,,
Intel Core i5-11400F,Intel,,Core i5-11400F,6,,,4.4,,
AMD Threadripper 3970X,AMD,,Threadripper 3970X,32,,,4.5,,
AMD Ryzen 7 3800X,AMD,,Ryzen 7 3800X,8,,,4.5,,
AMD Ryzen 5 2600X,AMD,,Ryzen 5 2600X,6,,,4.2,,
Intel Core i7-12700F,Intel,,Core i7-12700F,12,,,4.9,,
Intel Core i5-9600K,Intel,,Core i5-9600K,6,,,4.6,,
Intel Core Ultra 5 225F,Intel,,Core Ultra 5 225F,10,,,4.9,,
Intel Core i7-11700K,Intel,,Core i7-11700K,8,,,5.0,,
Intel Core i3-12100,Intel,,Core i3-12100,4,,,4.3,,
Intel Core i5-10400,Intel,,Core i5-10400,6,,,4.3,,
Intel Core i7-8700,Intel,,Core i7-8700,6,,,4.6,,
Intel Core i3-14100,Intel,,Core i3-14100,4,,,4.7,,
Intel Core i3-13100F,Intel,,Core i3-13100F,4,,,4.5,,
Intel Pentium E5700,Intel,,Pentium E5700,2,,,,,
Intel Core i9-10900K,Intel,,Core i9-10900K,10,,,5.3,,
Intel Core i5-13400,Intel,,Core i5-13400,10,,,4.6,,
Intel Core i7-7700,Intel,,Core i7-7700,4,,,4.2,,
Intel Core i7-13700F,Intel,,Core i7-13700F,16,,,5.2,,
