name,brand,family,model,vram_gb,base_ghz,boost_ghz,release_year,process_nm,directx,opengl,shader_model,architecture,bus_interface,memory_type
MSI GeForce RTX 3060 Ventus 2X 12G,,,MSI GeForce RTX 3060 Ventus 2X 12G,12.0,1320.0,1777.0,,,,,,,,
Sapphire PULSE,,,Sapphire PULSE,16.0,2220.0,3290.0,,,,,,,,
MSI SHADOW 3X OC,,,MSI SHADOW 3X OC,16.0,2300.0,2497.0,,,,,,,,
Gigabyte WINDFORCE OC SFF,,,Gigabyte WINDFORCE OC SFF,12.0,2160.0,2542.0,,,,,,,,
ASRock Challenger OC,,,ASRock Challenger OC,16.0,2220.0,3290.0,,,,,,,,
Gigabyte GAMING OC,,,Gigabyte GAMING OC,16.0,2520.0,3060.0,,,,,,,,
Asus ROG Astral OC,,,Asus ROG Astral OC,32.0,2010.0,2610.0,,,,,,,,
ASRock Challenger D,,,ASRock Challenger D,8.0,1626.0,,,,,,,,,
Asus PRIME OC,,,Asus PRIME OC,16.0,2460.0,3030.0,,,,,,,,
Asus PRIME,,,Asus PRIME,16.0,2410.0,2602.0,,,,,,,,
MSI VENTUS 2X BLACK OC,,,MSI VENTUS 2X BLACK OC,8.0,1830.0,2505.0,,,,,,,,
MSI VENTUS 2X PLUS OC,,,MSI VENTUS 2X PLUS OC,16.0,2410.0,2617.0,,,,,,,,
MSI VENTUS 3X OC,,,MSI VENTUS 3X OC,16.0,2300.0,2497.0,,,,,,,,
ASRock Steel Legend,,,ASRock Steel Legend,16.0,2400.0,2970.0,,,,,,,,
Intel Limited Edition,Intel,,Limited Edition,12.0,2670.0,,,,,,,,,
MSI SHADOW 2X OC,,,MSI SHADOW 2X OC,8.0,2280.0,2535.0,,,,,,,,
PNY OC,,,PNY OC,12.0,2325.0,2587.0,,,,,,,,
XFX Swift OC,,,XFX Swift OC,16.0,2220.0,3320.0,,,,,,,,
MSI VENTUS 2X OC,,,MSI VENTUS 2X OC,6.0,1040.0,1492.0,,,,,,,,
Gigabyte WINDFORCE OC,,,Gigabyte WINDFORCE OC,8.0,2280.0,,,,,,,,,
Asus TUF GAMING OC,,,Asus TUF GAMING OC,16.0,2300.0,,,,,,,,,
ASRock Challenger,,,ASRock Challenger,16.0,2070.0,2520.0,,,,,,,,
Sapphire NITRO+,,,Sapphire NITRO+,16.0,2520.0,3060.0,,,,,,,,
Gigabyte AORUS MASTER,,,Gigabyte AORUS MASTER,32.0,2010.0,2655.0,,,,,,,,
PowerColor Reaper,,,PowerColor Reaper,16.0,2220.0,3230.0,,,,,,,,
NVIDIA Founders Edition,NVIDIA,,Founders Edition,32.0,2017.0,2407.0,,,,,,,,
Gigabyte WINDFORCE SFF,,,Gigabyte WINDFORCE SFF,16.0,2452.0,,,,,,,,,
XFX Speedster SWFT 210,,,XFX Speedster SWFT 210,8.0,1626.0,2491.0,,,,,,,,
PowerColor RX7800XT 16G-P,,,PowerColor RX7800XT 16G-P,16.0,1295.0,2430.0,,,,,,,,
XFX Swift,,,XFX Swift,16.0,1660.0,2970.0,,,,,,,,
ASRock Phantom Gaming OC,,,ASRock Phantom Gaming OC,24.0,2300.0,2615.0,,,,,,,,
XFX GTS XXX,,,XFX GTS XXX,8.0,1366.0,1386.0,,,,,,,,
PNY VCNRTX6000ADA-PB,,,PNY VCNRTX6000ADA-PB,48.0,915.0,2505.0,,,,,,,,
Zotac GAMING Twin Edge,,,Zotac GAMING Twin Edge,12.0,1320.0,1777.0,,,,,,,,
Asus DUAL OC,,,Asus DUAL OC,16.0,2410.0,2632.0,,,,,,,,
Sapphire PURE,,,Sapphire PURE,16.0,2460.0,3010.0,,,,,,,,
Gigabyte WINDFORCE,,,Gigabyte WINDFORCE,16.0,2410.0,2572.0,,,,,,,,
Gigabyte AERO OC,,,Gigabyte AERO OC,16.0,2588.0,,,,,,,,,
XFX Speedster MERC 310 Black Edition,,,XFX Speedster MERC 310 Black Edition,24.0,2300.0,2615.0,,,,,,,,
Asus ROG Astral LC OC,,,Asus ROG Astral LC OC,32.0,2010.0,2610.0,,,,,,,,
Asus Dual GeForce RTX 3060 V2 OC Edition,,,Asus Dual GeForce RTX 3060 V2 OC Edition,12.0,1320.0,1867.0,,,,,,,,
MSI GAMING TRIO OC,,,MSI GAMING TRIO OC,12.0,2160.0,,,,,,,,,
Asus DUAL OC V2,,,Asus DUAL OC V2,8.0,1830.0,2535.0,,,,,,,,
Asus DUAL EVO OC,,,Asus DUAL EVO OC,8.0,1830.0,2535.0,,,,,,,,
PNY Dual Fan OC,,,PNY Dual Fan OC,16.0,2407.0,2691.0,,,,,,,,
ASRock Steel Legend OC,,,ASRock Steel Legend OC,16.0,2220.0,3320.0,,,,,,,,
PowerColor Hellhound OC,,,PowerColor Hellhound OC,16.0,2400.0,3010.0,,,,,,,,
PNY VERTO OC,,,PNY VERTO OC,12.0,1980.0,2490.0,,,,,,,,
MSI GAMING TRIO OC WHITE,,,MSI GAMING TRIO OC WHITE,12.0,2160.0,,,,,,,,,
MSI VENTUS 3X OC PLUS,,,MSI VENTUS 3X OC PLUS,16.0,2300.0,,,,,,,,,
Gigabyte AERO OC SFF,,,Gigabyte AERO OC SFF,16.0,2300.0,,,,,,,,,
XFX Speedster MERC 310,,,XFX Speedster MERC 310,20.0,2000.0,2535.0,,,,,,,,
Asus TUF GAMING,,,Asus TUF GAMING,32.0,2010.0,,,,,,,,,
XFX Speedster QICK 319 Core,,,XFX Speedster QICK 319 Core,16.0,1295.0,2430.0,,,,,,,,
Gigabyte GAMING OC Rev 2.0,,,Gigabyte GAMING OC Rev 2.0,12.0,1320.0,1837.0,,,,,,,,
MSI VENTUS 2X XS OC,,,MSI VENTUS 2X XS OC,8.0,1550.0,1807.0,,,,,,,,
Zotac SOLID SFF OC,,,Zotac SOLID SFF OC,16.0,2300.0,2482.0,,,,,,,,
XFX Speedster SWFT 210 Core,,,XFX Speedster SWFT 210 Core,12.0,1425.0,2544.0,,,,,,,,
XFX Quicksilver,,,XFX Quicksilver,16.0,2400.0,2970.0,,,,,,,,
Gigabyte EAGLE OC SFF,,,Gigabyte EAGLE OC SFF,12.0,2160.0,2587.0,,,,,,,,
MSI GAMING TRIO OC PLUS,,,MSI GAMING TRIO OC PLUS,16.0,2300.0,2580.0,,,,,,,,
Gigabyte AORUS ELITE,,,Gigabyte AORUS ELITE,16.0,2570.0,3100.0,,,,,,,,
MSI GT 710 2GD3 LP,,,MSI GT 710 2GD3 LP,2.0,954.0,,,,,,,,,
Zotac Twin Edge OC,,,Zotac Twin Edge OC,16.0,2410.0,2602.0,,,,,,,,
ONIX ODYSSEY,,,ONIX ODYSSEY,12.0,2670.0,,,,,,,,,
Lenovo 4X61D97085,,,Lenovo 4X61D97085,24.0,1170.0,1695.0,,,,,,,,
MSI VENTUS XS OC,,,MSI VENTUS XS OC,6.0,1530.0,1815.0,,,,,,,,
ASRock Taichi OC,,,ASRock Taichi OC,16.0,2570.0,3100.0,,,,,,,,
Gigabyte AORUS XTREME WATERFORCE,,,Gigabyte AORUS XTREME WATERFORCE,32.0,2010.0,2655.0,,,,,,,,
XFX RX-79TMBABF9,,,XFX RX-79TMBABF9,20.0,2000.0,2400.0,,,,,,,,
XFX Speedster SWFT 309,,,XFX Speedster SWFT 309,12.0,2321.0,2581.0,,,,,,,,
Gigabyte EAGLE OC ICE,,,Gigabyte EAGLE OC ICE,8.0,2280.0,,,,,,,,,
EVGA FTW3 ULTRA GAMING,,,EVGA FTW3 ULTRA GAMING,10.0,1440.0,1800.0,,,,,,,,
XFX Speedster QICK 319 BLACK,,,XFX Speedster QICK 319 BLACK,12.0,1700.0,2599.0,,,,,,,,
PNY VCG508016TFXPB1,,,PNY VCG508016TFXPB1,16.0,2300.0,2620.0,,,,,,,,
PowerColor Red Devil OC,,,PowerColor Red Devil OC,16.0,2460.0,3060.0,,,,,,,,
Gigabyte GAMING,,,Gigabyte GAMING,16.0,2220.0,,,,,,,,,
MSI GeForce RTX 3060 Ti GAMING X,,,MSI GeForce RTX 3060 Ti GAMING X,8.0,1410.0,1770.0,,,,,,,,
Gigabyte AORUS MASTER ICE,,,Gigabyte AORUS MASTER ICE,16.0,2300.0,,,,,,,,,
Palit Infinity 3,,,Palit Infinity 3,12.0,2325.0,2512.0,,,,,,,,
ASRock Phantom Gaming D OC,,,ASRock Phantom Gaming D OC,4.0,2365.0,2820.0,,,,,,,,
MSI SUPRIM LIQUID SOC,,,MSI SUPRIM LIQUID SOC,32.0,2010.0,,,,,,,,,
Asus ROG STRIX GAMING OC,,,Asus ROG STRIX GAMING OC,16.0,2300.0,2625.0,,,,,,,,
Sparkle TITAN OC,,,Sparkle TITAN OC,12.0,2670.0,2740.0,,,,,,,,
Zotac GAMING SOLID OC,,,Zotac GAMING SOLID OC,12.0,2160.0,2542.0,,,,,,,,
Gigabyte EAGLE OC,,,Gigabyte EAGLE OC,16.0,2410.0,2617.0,,,,,,,,
Sparkle GUARDIAN OC,,,Sparkle GUARDIAN OC,10.0,2500.0,2660.0,,,,,,,,
AMD Radeon RX 6950 XT,AMD,,Radeon RX 6950 XT,16.0,1890.0,2310.0,,,,,,,,
Zotac GAMING SOLID,,,Zotac GAMING SOLID,32.0,2010.0,2407.0,,,,,,,,
EVGA KO ULTRA GAMING,,,EVGA KO ULTRA GAMING,6.0,1365.0,1755.0,,,,,,,,
XFX Mercury OC RGB,,,XFX Mercury OC RGB,16.0,1870.0,3100.0,,,,,,,,
Gainward Phoenix-S,,,Gainward Phoenix-S,16.0,2300.0,2452.0,,,,,,,,
PNY ARGB EPIC-X RGB OC,,,PNY ARGB EPIC-X RGB OC,16.0,2295.0,2640.0,,,,,,,,
Zotac GAMING SOLO,,,Zotac GAMING SOLO,8.0,2280.0,2497.0,,,,,,,,
PNY VCQGV100-PB,,,PNY VCQGV100-PB,32.0,1200.0,1447.0,,,,,,,,
Zotac GAMING AMP Extreme INFINITY,,,Zotac GAMING AMP Extreme INFINITY,16.0,2300.0,2670.0,,,,,,,,
Gigabyte OC Low Profile,,,Gigabyte OC Low Profile,8.0,2280.0,,,,,,,,,
PowerColor Hellhound Spectral,,,PowerColor Hellhound Spectral,16.0,2400.0,3010.0,,,,,,,,
PNY EPIC-X RGB OC,,,PNY EPIC-X RGB OC,32.0,2010.0,2625.0,,,,,,,,
Gigabyte EAGLE,,,Gigabyte EAGLE,8.0,1626.0,2491.0,,,,,,,,
Gigabyte WINDFORCE V2,,,Gigabyte WINDFORCE V2,16.0,2210.0,2550.0,,,,,,,,
MSI SUPRIM SOC,,,MSI SUPRIM SOC,32.0,2010.0,,,,,,,,,
Gigabyte WINDFORCE OC Rev 2.0,,,Gigabyte WINDFORCE OC Rev 2.0,12.0,1320.0,1792.0,,,,,,,,
PowerColor Hellhound,,,PowerColor Hellhound,24.0,2300.0,2525.0,,,,,,,,
MSI VANGUARD SOC,,,MSI VANGUARD SOC,16.0,2300.0,2602.0,,,,,,,,
Sapphire 21323-01-20G,,,Sapphire 21323-01-20G,20.0,2000.0,2400.0,,,,,,,,
Zotac Twin Edge,,,Zotac Twin Edge,16.0,2410.0,2572.0,,,,,,,,
MSI INSPIRE 3X OC PLUS,,,MSI INSPIRE 3X OC PLUS,16.0,2300.0,2497.0,,,,,,,,
ASRock Intel Arc A380 Challenger ITX,,,ASRock Intel Arc A380 Challenger ITX,6.0,2250.0,,,,,,,,,
ONIX LUMI OC,,,ONIX LUMI OC,12.0,2670.0,2740.0,,,,,,,,
XFX RX-79GMERCB9,,,XFX RX-79GMERCB9,16.0,1270.0,2395.0,,,,,,,,
MSI GeForce RTX 3080 VENTUS 3X 10G OC,,,MSI GeForce RTX 3080 VENTUS 3X 10G OC,10.0,1440.0,,,,,,,,,
MSI GT 710 2GD3H LP,,,MSI GT 710 2GD3H LP,2.0,954.0,954.0,,,,,,,,
Palit GamingPro,,,Palit GamingPro,16.0,2300.0,2452.0,,,,,,,,
MSI GeForce RTX 2070 SUPER VENTUS GP OC,,,MSI GeForce RTX 2070 SUPER VENTUS GP OC,8.0,1605.0,1785.0,,,,,,,,
MSI GTX 1050 Ti 4GT OC,,,MSI GTX 1050 Ti 4GT OC,4.0,1341.0,1455.0,,,,,,,,
Gigabyte EAGLE OC ICE SFF,,,Gigabyte EAGLE OC ICE SFF,16.0,2541.0,,,,,,,,,
MSI GeForce RTX 3070 VENTUS 3X OC,,,MSI GeForce RTX 3070 VENTUS 3X OC,8.0,1500.0,1755.0,,,,,,,,
